id,survey_response,text_indonesian,text_german,product_review,article,entity_text,respondent_age,respondent_gender,country,year
1,The government should invest more in renewable energy and reduce carbon emissions,Perekonomian Indonesia terus tumbuh meskipun tantangan global meningkat,Die deutsche Wirtschaft zeigt trotz globaler Unsicherheiten Widerstandsfaehigkeit,Absolutely love this product! Best purchase I have made all year,"The global transition to renewable energy has accelerated significantly in recent years, driven by falling costs of solar and wind technology, growing environmental awareness, and supportive government policies. Solar panel costs have dropped by over 90 percent since 2010, making photovoltaic installations competitive with fossil fuels in many regions. Wind energy capacity has also expanded rapidly, with offshore wind farms becoming particularly attractive in coastal nations. Despite these advances, challenges remain including energy storage limitations, grid infrastructure upgrades, and the need for rare earth minerals in battery production. Countries like Germany, Denmark, and China have emerged as leaders in renewable deployment, while developing nations are increasingly leapfrogging traditional energy infrastructure to adopt clean alternatives directly.",Dr. Angela Merkel met with Elon Musk at the European Commission headquarters in Brussels,19,Male,Indonesia,2023
2,Healthcare costs are too high and we need universal coverage for everyone,Pendidikan tinggi di Indonesia membutuhkan reformasi kurikulum yang menyeluruh,Die Energiewende erfordert massive Investitionen in erneuerbare Energien,"Terrible quality, broke after two days of use. Complete waste of money","Artificial intelligence is transforming healthcare delivery across multiple dimensions, from diagnostic imaging to drug discovery and personalized treatment planning. Machine learning algorithms can now detect certain cancers in medical images with accuracy matching or exceeding human radiologists. Natural language processing systems help clinicians extract relevant information from electronic health records, reducing documentation burden. AI-powered drug discovery platforms have shortened the time from target identification to clinical trials by years. However, significant concerns remain about algorithmic bias, data privacy, regulatory frameworks, and the potential displacement of healthcare workers. The integration of AI in healthcare requires careful balancing of innovation with patient safety and equitable access to ensure these technologies benefit all populations regardless of socioeconomic status.",Samsung Electronics announced a partnership with Stanford University in Silicon Valley,24,Male,Indonesia,2023
3,Public transportation needs expansion to reduce traffic congestion in cities,Sektor pariwisata Bali pulih setelah dampak pandemi yang berkepanjangan,Die Digitalisierung der Verwaltung schreitet in Deutschland langsam voran,"Pretty good for the price, nothing spectacular but does the job well","Urban agriculture has gained momentum worldwide as cities seek to improve food security, reduce transportation emissions, and create green spaces in dense environments. Vertical farms using hydroponic and aeroponic systems can produce crops year-round in controlled environments, using significantly less water than traditional farming. Community gardens have proliferated in cities across Europe and North America, providing fresh produce to underserved neighborhoods while fostering social cohesion. Rooftop gardens and green walls contribute to urban cooling, reducing the heat island effect that plagues many metropolitan areas. Critics point to high energy costs for indoor farming and argue that urban agriculture alone cannot replace conventional farming at scale, but proponents see it as a valuable complement to existing food systems.",President Joko Widodo visited the World Bank offices in Washington DC last Tuesday,44,Other,Germany,2024
4,Education reform should focus on STEM subjects and vocational training,Pertanian organik semakin diminati oleh masyarakat perkotaan di Jawa,Fachkraeftemangel bedroht die Wettbewerbsfaehigkeit der deutschen Industrie,"Outstanding customer service, they resolved my issue within minutes","The future of work is being reshaped by technological innovation, demographic shifts, and changing employee expectations in unprecedented ways. Remote work, accelerated by the global pandemic, has become a permanent feature of many industries, with hybrid models becoming the preferred arrangement for both employers and employees. Automation and artificial intelligence are eliminating routine tasks while creating demand for new skills in data analysis, digital literacy, and creative problem-solving. The gig economy continues to expand, raising important questions about worker protections, benefits, and the social contract between employers and employees. Educational institutions are adapting curricula to prepare students for careers that may not yet exist, emphasizing adaptability and lifelong learning.",Apple CEO Tim Cook presented at the annual conference in Cupertino California,31,Male,Germany,2024
5,Immigration policy must balance security with humanitarian obligations,Infrastruktur transportasi publik Jakarta mengalami perbaikan signifikan,Die Mietpreise in Grossstaedten wie Berlin und Muenchen steigen weiter,The packaging was damaged but the product itself works perfectly fine,"Ocean conservation has become a critical priority as marine ecosystems face unprecedented threats from climate change, overfishing, plastic pollution, and habitat destruction. Coral reefs, which support approximately 25 percent of all marine species, are experiencing mass bleaching events due to rising sea temperatures. Microplastics have been found in every ocean and in marine organisms at all depths, with potential implications for human health through the food chain. Marine protected areas have shown promise in allowing fish populations to recover and ecosystems to regenerate, but currently cover only about 8 percent of the global ocean. International cooperation through agreements like the High Seas Treaty represents important progress, though enforcement and monitoring remain significant challenges for protecting the vast stretches of international waters.",The United Nations Secretary General spoke at the climate summit in Paris France,31,Male,Germany,2024
6,The minimum wage should be raised to keep up with inflation and cost of living,Hutan hujan Kalimantan terancam oleh perluasan perkebunan kelapa sawit,Klimaschutz und wirtschaftliches Wachstum muessen vereinbar sein,"Do not buy this, it is a cheap knockoff that does not work at all","The global transition to renewable energy has accelerated significantly in recent years, driven by falling costs of solar and wind technology, growing environmental awareness, and supportive government policies. Solar panel costs have dropped by over 90 percent since 2010, making photovoltaic installations competitive with fossil fuels in many regions. Wind energy capacity has also expanded rapidly, with offshore wind farms becoming particularly attractive in coastal nations. Despite these advances, challenges remain including energy storage limitations, grid infrastructure upgrades, and the need for rare earth minerals in battery production. Countries like Germany, Denmark, and China have emerged as leaders in renewable deployment, while developing nations are increasingly leapfrogging traditional energy infrastructure to adopt clean alternatives directly.",Microsoft and Google are competing for contracts with the Pentagon in Arlington,47,Female,Japan,2023
7,Climate change is the most pressing issue facing our generation today,Industri teknologi di Indonesia mengalami pertumbuhan pesat tahun ini,Das deutsche Bildungssystem braucht grundlegende Reformen und Modernisierung,Exceeded my expectations in every way. Will definitely buy again,"Artificial intelligence is transforming healthcare delivery across multiple dimensions, from diagnostic imaging to drug discovery and personalized treatment planning. Machine learning algorithms can now detect certain cancers in medical images with accuracy matching or exceeding human radiologists. Natural language processing systems help clinicians extract relevant information from electronic health records, reducing documentation burden. AI-powered drug discovery platforms have shortened the time from target identification to clinical trials by years. However, significant concerns remain about algorithmic bias, data privacy, regulatory frameworks, and the potential displacement of healthcare workers. The integration of AI in healthcare requires careful balancing of innovation with patient safety and equitable access to ensure these technologies benefit all populations regardless of socioeconomic status.",Professor Zhang Wei from Tsinghua University published research in the journal Nature,46,Female,Japan,2023
8,Small businesses need more tax breaks to compete with large corporations,Nelayan tradisional menghadapi persaingan dari kapal penangkap ikan besar,Die Automobilindustrie steht vor dem groessten Wandel ihrer Geschichte,"Average product, nothing wrong but nothing impressive either really","Urban agriculture has gained momentum worldwide as cities seek to improve food security, reduce transportation emissions, and create green spaces in dense environments. Vertical farms using hydroponic and aeroponic systems can produce crops year-round in controlled environments, using significantly less water than traditional farming. Community gardens have proliferated in cities across Europe and North America, providing fresh produce to underserved neighborhoods while fostering social cohesion. Rooftop gardens and green walls contribute to urban cooling, reducing the heat island effect that plagues many metropolitan areas. Critics point to high energy costs for indoor farming and argue that urban agriculture alone cannot replace conventional farming at scale, but proponents see it as a valuable complement to existing food systems.",Toyota Motor Corporation opened a new factory in Georgetown Kentucky employing 5000,69,Other,UK,2024
9,Student loan debt is crippling young people and needs to be forgiven,Program vaksinasi nasional berhasil menjangkau daerah pedesaan terpencil,Integration von Migranten bleibt eine wichtige gesellschaftliche Aufgabe,Worst customer experience ever. Waited three weeks for a refund,"The future of work is being reshaped by technological innovation, demographic shifts, and changing employee expectations in unprecedented ways. Remote work, accelerated by the global pandemic, has become a permanent feature of many industries, with hybrid models becoming the preferred arrangement for both employers and employees. Automation and artificial intelligence are eliminating routine tasks while creating demand for new skills in data analysis, digital literacy, and creative problem-solving. The gig economy continues to expand, raising important questions about worker protections, benefits, and the social contract between employers and employees. Educational institutions are adapting curricula to prepare students for careers that may not yet exist, emphasizing adaptability and lifelong learning.",FIFA President Gianni Infantino met with IOC members at the headquarters in Zurich,23,Male,Japan,2023
10,Gun control legislation should be strengthened to prevent mass shootings,Kenaikan harga bahan bakar mempengaruhi biaya hidup masyarakat kecil,Die Gesundheitsversorgung auf dem Land wird zunehmend schwieriger,Great value for money. My whole family loves using this product daily,"Ocean conservation has become a critical priority as marine ecosystems face unprecedented threats from climate change, overfishing, plastic pollution, and habitat destruction. Coral reefs, which support approximately 25 percent of all marine species, are experiencing mass bleaching events due to rising sea temperatures. Microplastics have been found in every ocean and in marine organisms at all depths, with potential implications for human health through the food chain. Marine protected areas have shown promise in allowing fish populations to recover and ecosystems to regenerate, but currently cover only about 8 percent of the global ocean. International cooperation through agreements like the High Seas Treaty represents important progress, though enforcement and monitoring remain significant challenges for protecting the vast stretches of international waters.",Amazon Web Services expanded operations in Mumbai India and Singapore this quarter,30,Male,UK,2024
